Judul Ads,Grade Score - V3,Ad Spend,Impressions,3s View,50% View,Link Click,LP View,Conversions,Campaign Conversions,Revenue,Hook Quality,Content Quality,Clickability,LP Match Rate,RoAS CC,Ads Grade - V3,Hook Grade,Content Grade,Video Clickability Grade,LP Match Grade (REVISI),Offer Quality Grade,Reported V3
A&P - Special Offer - Unboxing Paket Gula Darah Sehat (Dewi Yull) - Superfood,0%,"IDR 1,142.00",29,5,1,0,0,0,155,IDR 0.00,17.2413793103%,20%,0%,,0%,⬛️⬛️⬛️ F,🔴🔴 Very Bad,🟡 Neutral,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
BO - BPR - Jaga Gula Darah Selama Puasa (Dewi Yull) - Metafiber,0%,"IDR 11,095.00",97,28,3,3,1,0,451,IDR 0.00,28.8659793814%,10.7142857143%,3.0927835052%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴 Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL Expert - dr. Atan - M3P,0%,"IDR 49,256.00",859,255,40,11,5,0,313,IDR 0.00,29.6856810244%,15.6862745098%,1.2805587893%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Trust Builder - MTP - VID - Gula Darah Turun Stabil (Renewal Hook) - Superfood,0%,"IDR 70,338.00","1,364",516,13,21,12,0,147,IDR 0.00,37.8299120235%,2.519379845%,1.5395894428%,0%,0%,⬛️⬛️⬛️ F,🟢 Good,🔴🔴 Very Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
BO - BPR - VID - Lepas Insulin (Renewal Hook) - Superfood,0%,"IDR 6,616.00",78,33,3,0,0,0,147,IDR 0.00,42.3076923077%,9.0909090909%,0%,,0%,⬛️⬛️⬛️ F,🟢 Good,🔴 Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Trust Builder - MTP - VID - Takut Mati (Renewal Hook) - Metafiber,0%,"IDR 8,394.00",50,25,2,3,1,0,451,IDR 0.00,50%,8%,6%,0%,0%,⬛️⬛️⬛️ F,🟢🟢 Very Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Trust Builder - MTP - VID - Takut Mati (Renewal Hook) - Superfood,0%,"IDR 18,225.00",258,94,4,6,6,0,147,IDR 0.00,36.4341085271%,4.2553191489%,2.3255813953%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Trust Builder - MTP - VID - Lepas Insulin (Renewal Hook) - Superfood,0%,"IDR 45,713.00",392,158,14,13,6,0,147,IDR 0.00,40.306122449%,8.8607594937%,3.3163265306%,0%,0%,⬛️⬛️⬛️ F,🟢 Good,🔴🔴 Very Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Trust Builder - MTP - VID - Lepas Insulin (Renewal Hook) - Metafiber,0%,"IDR 8,190.00",164,59,3,2,0,0,451,IDR 0.00,35.9756097561%,5.0847457627%,1.2195121951%,,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
BO - BPR - Motion - Segelas mGanik Superfood - Superfood,0%,"IDR 16,270.00",134,11,5,2,1,0,147,IDR 0.00,8.2089552239%,45.4545454545%,1.4925373134%,0%,0%,⬛️⬛️⬛️ F,🔴🔴 Very Bad,🟢🟢 Very Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Trust Builder - BVA - Multiproof Banyak Yang Membuktikan - Metafiber,0%,"IDR 11,905.00",207,7,5,2,1,0,451,IDR 0.00,3.3816425121%,71.4285714286%,0.9661835749%,0%,0%,⬛️⬛️⬛️ F,🔴🔴 Very Bad,🟢🟢 Very Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
SPC - HERO - Ibu Agusni - Gejala Diabetes Menghilang  - Superfood,0%,IDR 700.00,17,5,1,0,0,0,162,IDR 0.00,29.4117647059%,20%,0%,,0%,⬛️⬛️⬛️ F,🔴 Bad,🟡 Neutral,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
SPC - HERO - Ibu Agusni - Merubah Pola Makan - Superfood,0%,"IDR 105,953.00","2,144",729,212,56,29,0,162,IDR 0.00,34.0018656716%,29.0809327846%,2.6119402985%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟢 Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Trust Builder - MTP - Carousel - Cerita Sukses Gula Darah Kembali Stabil Secara Alami - Superfood,0%,"IDR 21,993.00",368,11,3,5,2,0,147,IDR 0.00,2.9891304348%,27.2727272727%,1.3586956522%,0%,0%,⬛️⬛️⬛️ F,🔴🔴 Very Bad,🟢 Good,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
0° - KOL User - Agnes Yoshia - Superfood,0%,"IDR 46,083.00",614,187,80,19,12,0,162,IDR 0.00,30.4560260586%,42.7807486631%,3.0944625407%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟢 Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Trust Builder - MTP - Mirroring IG (Bukti Nyata Diabetes Bisa Diatasi Secara Alami) - Metafiber,0%,"IDR 20,244.00",264,74,12,7,3,0,451,IDR 0.00,28.0303030303%,16.2162162162%,2.6515151515%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
"BO - BPR - Mirroring IG (Menu Makan Siang Sehat Buat Diabetesi) - Metafiber ",0%,"IDR 73,039.00","2,107",0,0,136,66,0,451,IDR 0.00,0%,,6.4546748932%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,🔴🔴 Very Bad,⬜ Insufficient Data,Reported
EDU - Expert - Mirroring IG (Gula darah Harian dan HbA1c Bedanya Apa?) - Metafiber,0%,"IDR 1,099.00",127,45,4,3,1,0,338,IDR 0.00,35.4330708661%,8.8888888889%,2.3622047244%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
EDU - Expert - Mirroring IG (Gula darah Harian dan HbA1c Bedanya Apa?) - Superfood,0%,"IDR 6,753.00",168,51,14,6,4,0,156,IDR 0.00,30.3571428571%,27.4509803922%,3.5714285714%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟢 Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
0°- BO - BPR - BVA Solusi Alami Atasi Gula Darah Tinggi - Superfood,0%,"IDR 84,465.00","1,369",0,0,18,11,0,147,IDR 0.00,0%,,1.3148283419%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
25°- Trust Builder - Multiproof - BVA - Metafiber,0%,"IDR 2,201.00",31,0,0,1,0,0,451,IDR 0.00,0%,,3.2258064516%,,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
25°- Trust Builder - Multiproof - BVA - Superfood,0%,"IDR 9,925.00",166,10,5,2,2,0,147,IDR 0.00,6.0240963855%,50%,1.2048192771%,0%,0%,⬛️⬛️⬛️ F,🔴🔴 Very Bad,🟢🟢 Very Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL Expert - Ahli Gizi Sehatsamanisa - Superfood,0%,"IDR 117,172.00",909,216,59,17,7,0,156,IDR 0.00,23.7623762376%,27.3148148148%,1.8701870187%,0%,0%,⬛️⬛️⬛️ F,🔴 Bad,🟢 Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
25° - Trust Builder - MTP - Banyak yang Membuktikan! Gula Darah Bisa Turun Secara Alami - Superfood,0%,"IDR 46,349.00",588,14,5,14,7,0,147,IDR 0.00,2.380952381%,35.7142857143%,2.380952381%,0%,0%,⬛️⬛️⬛️ F,🔴🔴 Very Bad,🟢 Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
BPR - VID - Gula Darah Susah Turun - Superfood,0%,"IDR 31,045.00",384,115,33,4,1,0,147,IDR 0.00,29.9479166667%,28.6956521739%,1.0416666667%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟢 Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
0°- SPC - HERO - Dewi Yull x Sri Ojol - Tidak Cocok dengan Herbal - Superfood,0%,"IDR 1,514.00",26,16,2,1,0,0,162,IDR 0.00,61.5384615385%,12.5%,3.8461538462%,,0%,⬛️⬛️⬛️ F,🟢🟢 Very Good,🔴 Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
0°- SPC - HERO - Dewi Yull x Sri Ojol - Komplikasi Tanpa Gejala - Superfood,0%,IDR 654.00,13,3,0,0,0,0,162,IDR 0.00,23.0769230769%,0%,0%,,0%,⬛️⬛️⬛️ F,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
"BPR - VID - Maria Ana - Udah Makan Sedikit, Gula Darah Tetep Tinggi - Metafiber",0%,"IDR 282,226.00","6,415","1,520",310,141,83,0,338,IDR 0.00,23.6944660951%,20.3947368421%,2.1979734996%,0%,0%,⬛️⬛️⬛️ F,🔴 Bad,🟡 Neutral,🔴🔴 Very Bad,🔴🔴 Very Bad,⬜ Insufficient Data,Reported
"EDU - Expert - BVA Carousel dr. Kelvin - Sudah Minum Obat, Gula Darah Masih Tinggi - Metafiber",0%,IDR 318.00,25,0,0,1,1,0,338,IDR 0.00,0%,,4%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
0° - SPC - PUFI - Sharing Story Dewi Yull - Komplikasi Karena Diabetes - Metafiber,0%,IDR 4.00,1,1,0,0,0,0,338,IDR 0.00,100%,0%,0%,,0%,⬛️⬛️⬛️ F,🟢🟢 Very Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
MTP - VID - Motion - Kompilasi Penderita Hipertensi Berhasil - 3Peptide,0%,"IDR 23,800.00",380,89,31,8,2,0,352,IDR 0.00,23.4210526316%,34.8314606742%,2.1052631579%,0%,0%,⬛️⬛️⬛️ F,🔴 Bad,🟢 Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
EDU - Expert - Cutdown Penyuluhan TK Dokter Kelvin - Menghindari Komplikasi Diabetes - Superfood,0%,IDR 814.00,15,5,2,1,1,0,156,IDR 0.00,33.3333333333%,40%,6.6666666667%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟢 Good,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
EDU - Expert - Cutdown Penyuluhan TK Dokter Kelvin - Menghindari Komplikasi Diabetes - Metafiber,0%,"IDR 3,923.00",50,28,7,2,1,0,338,IDR 0.00,56%,25%,4%,0%,0%,⬛️⬛️⬛️ F,🟢🟢 Very Good,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
MTP - VID - Motion - Kompilasi Penderita Diabetes Berhasil - Metafiber,0%,"IDR 5,366.00",132,25,14,1,1,0,451,IDR 0.00,18.9393939394%,56%,0.7575757576%,0%,0%,⬛️⬛️⬛️ F,🔴 Bad,🟢🟢 Very Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Cutdown 3 - Pak Yanto - Testimoni Superfood Angle 2 - Superfood - New BLUR,0%,"IDR 1,244.00",10,5,0,1,0,0,162,IDR 0.00,50%,0%,10%,,0%,⬛️⬛️⬛️ F,🟢🟢 Very Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
"0° - KOL Expert - Maria Ana (@apotekerana) - Apa Benar Insulin Beracun? - mGanik Superfood ",0%,"IDR 6,540.00",109,31,8,1,1,0,156,IDR 0.00,28.4403669725%,25.8064516129%,0.9174311927%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
0° - Brand Education - Boleh/Gak Boleh Versi Camilan untuk Diabetesi (Mirroring IG),0%,"IDR 27,496.00",800,204,53,23,12,0,156,IDR 0.00,25.5%,25.9803921569%,2.875%,0%,0%,⬛️⬛️⬛️ F,🔴 Bad,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
HC - VID - Cutdown 2 - Pak Mustakim - Angle Bisa Remisi Diabetes - Superfood,0%,IDR 108.00,2,1,0,0,0,0,162,IDR 0.00,50%,0%,0%,,0%,⬛️⬛️⬛️ F,🟢🟢 Very Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
MTP - Carousel - Bukti Tensi Bisa Turun Alami - 3Peptide,0%,"IDR 14,290.00",206,0,0,6,5,0,352,IDR 0.00,0%,,2.9126213592%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
"RC - Video Call - Bu Nurcahayati - Diabetes Sudah Komplikasi, Kini Berhasil Hidup Normal Lagi - Metafiber",0%,IDR 151.00,7,1,0,1,0,0,524,IDR 0.00,14.2857142857%,0%,14.2857142857%,,0%,⬛️⬛️⬛️ F,🔴🔴 Very Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
PUFI - VID - Short Script 3 Dewi Yull - Superfood,0%,"IDR 3,520.00",35,8,3,0,0,0,162,IDR 0.00,22.8571428571%,37.5%,0%,,0%,⬛️⬛️⬛️ F,🔴 Bad,🟢 Good,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
RTS - VID - Jangan Ragu! Pak Yanto Berhasil Bebas Insulin - Metafiber,0%,"IDR 9,777.00",110,53,21,6,4,0,257,IDR 0.00,48.1818181818%,39.6226415094%,5.4545454545%,0%,0%,⬛️⬛️⬛️ F,🟢🟢 Very Good,🟢 Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
HC - VID - Cutdown 1 - Hero Bapak Mustakim -  Gigi Copot & Gusi Berdarah - Superfood,0%,IDR 140.00,3,1,0,0,0,0,162,IDR 0.00,33.3333333333%,0%,0%,,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
BPR - KOL Expert- Maria Ana - Remisi Diabetes Mungkin Dicapai? - Superfood,0%,"IDR 4,647.00",107,22,5,1,1,0,156,IDR 0.00,20.5607476636%,22.7272727273%,0.9345794393%,0%,0%,⬛️⬛️⬛️ F,🔴 Bad,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
"RC - Video Call - Pak Suprapto - Luka Sulit Sembuh, Gula Darah 500mg/dL - Superfood",0%,"IDR 4,186.00",47,21,1,1,0,0,162,IDR 0.00,44.6808510638%,4.7619047619%,2.1276595745%,,0%,⬛️⬛️⬛️ F,🟢 Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
TOFU - BPR - VID - Apakah Insulin Racun? (Jessica Ver.) - Superfood,0%,"IDR 32,672.00",287,129,21,8,4,0,147,IDR 0.00,44.9477351916%,16.2790697674%,2.787456446%,0%,0%,⬛️⬛️⬛️ F,🟢🟢 Very Good,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
MOFU25 - MTP - VID - 2 Menit Yang Bikin Percaya - Metafiber,0%,"IDR 15,238.00",166,71,18,0,0,0,451,IDR 0.00,42.7710843373%,25.3521126761%,0%,,0%,⬛️⬛️⬛️ F,🟢 Good,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
PUFI - VID - Short Script 3 Dewi Yull - Metafiber,0%,"IDR 15,308.00",220,42,11,1,0,0,524,IDR 0.00,19.0909090909%,26.1904761905%,0.4545454545%,,0%,⬛️⬛️⬛️ F,🔴 Bad,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
TOFU - BPR - Carousel - Kenapa Orang Hipertensi Harus Minum mGanik 3Peptide? - M3P,0%,"IDR 21,263.00",240,16,11,3,2,0,352,IDR 0.00,6.6666666667%,68.75%,1.25%,0%,0%,⬛️⬛️⬛️ F,🔴🔴 Very Bad,🟢🟢 Very Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
FAQ - VID - Berapa Lama Bisa Sembuh? - Superfood,0%,"IDR 20,277.00",183,80,18,2,2,0,88,IDR 0.00,43.7158469945%,22.5%,1.0928961749%,0%,0%,⬛️⬛️⬛️ F,🟢 Good,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
"Expert - Cutdown 1 - Dewi Yull x dr. Kelvin - Pentingnya Makanan Rendah Karbohidrat - Superfood ",0%,IDR 987.00,31,4,0,0,0,0,156,IDR 0.00,12.9032258065%,0%,0%,,0%,⬛️⬛️⬛️ F,🔴🔴 Very Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Expert - Cutdown 4 Podcast - Dewi Yull x dr. Kelvin - Insulin Tidak Berfungsi - Superfood,0%,"IDR 1,389.00",34,2,0,0,0,0,156,IDR 0.00,5.8823529412%,0%,0%,,0%,⬛️⬛️⬛️ F,🔴🔴 Very Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Expert - Cutdown 4 Podcast - Dewi Yull x dr. Kelvin - Insulin Tidak Berfungsi - Metafiber,0%,IDR 359.00,10,2,0,1,1,0,338,IDR 0.00,20%,0%,10%,0%,0%,⬛️⬛️⬛️ F,🔴🔴 Very Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Expert - Cutdown 3 Podcast - Dewi Yull x dr. Kelvin - Kenapa Diabetesi sering BAK - Superfood,0%,IDR 180.00,5,2,1,0,0,0,156,IDR 0.00,40%,50%,0%,,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟢🟢 Very Good,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
Expert - Cutdown 3 Podcast - Dewi Yull x dr. Kelvin - Kenapa Diabetesi sering BAK - Metafiber,0%,IDR 418.00,16,4,0,0,0,0,338,IDR 0.00,25%,0%,0%,,0%,⬛️⬛️⬛️ F,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
PUFI - Cutdown 2 Podcast - Dewi Yull x dr. Kelvin - Diabetes Menyerang Pembuluh Darah Kecil & Besar - Superfood,0%,"IDR 1,978.00",46,6,1,3,2,0,156,IDR 0.00,13.0434782609%,16.6666666667%,6.5217391304%,0%,0%,⬛️⬛️⬛️ F,🔴🔴 Very Bad,🟡 Neutral,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL User - Luthfi Rambe - Metafiber,0%,"IDR 45,375.00",835,294,68,25,12,0,524,IDR 0.00,35.2095808383%,23.1292517007%,2.994011976%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
TOFU 0 - BE - BVA - Obat Diabetes Cemari Sungai - SKU Diabetes,0%,"IDR 27,127.00",978,0,0,58,23,0,156,IDR 0.00,0%,,5.9304703476%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
PUFI - VID - Cutdown Gang Diabetes (2) - Superfood,0%,"IDR 2,962.00",15,3,1,1,0,0,156,IDR 0.00,20%,33.3333333333%,6.6666666667%,,0%,⬛️⬛️⬛️ F,🔴 Bad,🟢 Good,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
PUFI - VID - Cutdown Gang Diabetes (2) - Metafiber,0%,"IDR 32,485.00",942,269,39,22,8,0,338,IDR 0.00,28.5562632696%,14.4981412639%,2.3354564756%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
PUFI- VID - Cutdown Gang Diabetes (1) - Kebersamaan Geng Diabetes - Metafiber,0%,IDR 371.00,27,5,1,0,0,0,338,IDR 0.00,18.5185185185%,20%,0%,,0%,⬛️⬛️⬛️ F,🔴🔴 Very Bad,🟡 Neutral,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
PUFI- VID - Cutdown Gang Diabetes (1) - Kebersamaan Geng Diabetes - Superfood,0%,"IDR 3,511.00",167,35,9,0,0,0,156,IDR 0.00,20.9580838323%,25.7142857143%,0%,,0%,⬛️⬛️⬛️ F,🔴 Bad,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
PUFI - VID - Cutdown - Dewi Yull x Gang Diabetes (4) - Kapok Kena Diabetes - Metafiber,0%,IDR 773.00,20,9,1,0,0,0,338,IDR 0.00,45%,11.1111111111%,0%,,0%,⬛️⬛️⬛️ F,🟢 Good,🔴 Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
PUFI - VID - Cutdown - Dewi Yull x Gang Diabetes (3) - Satu Gang Kena Diabetes - Superfood,0%,IDR 938.00,23,9,1,1,1,0,156,IDR 0.00,39.1304347826%,11.1111111111%,4.347826087%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴 Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
PUFI - VID - Cutdown - Dewi Yull x Gang Diabetes (2) - Ibu Delila & Broll Sarapan Superfood,0%,"IDR 27,886.00",379,159,17,7,3,0,156,IDR 0.00,41.9525065963%,10.6918238994%,1.8469656992%,0%,0%,⬛️⬛️⬛️ F,🟢 Good,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
PUFI - VID - Cutdown - Dewi Yull x Gang Diabetes (1) - Pak RT & Mama Ndu - Metafiber,0%,IDR 84.00,1,1,0,0,0,0,338,IDR 0.00,100%,0%,0%,,0%,⬛️⬛️⬛️ F,🟢🟢 Very Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
RC - Vidcall - Ibu Dorkas - Hipertensi Sampai Stroke - M3P,0%,"IDR 62,309.00","1,565",520,31,26,12,0,206,IDR 0.00,33.2268370607%,5.9615384615%,1.661341853%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴🔴 Very Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
RTS - VID - Dari Diabetesi Untuk Diabetesi yang Masih Ragu - Superfood,0%,"IDR 8,684.00",67,15,1,0,0,0,88,IDR 0.00,22.3880597015%,6.6666666667%,0%,,0%,⬛️⬛️⬛️ F,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
KOL Expert - Lisa Tondang - Metafiber,0%,"IDR 29,335.00",280,71,3,6,2,0,338,IDR 0.00,25.3571428571%,4.2253521127%,2.1428571429%,0%,0%,⬛️⬛️⬛️ F,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
RC - Vidcall - Ibu Iin - Badan Seger Banget - Metafiber,0%,"IDR 8,998.00",156,58,5,2,2,0,338,IDR 0.00,37.1794871795%,8.6206896552%,1.2820512821%,0%,0%,⬛️⬛️⬛️ F,🟡 Neutral,🔴🔴 Very Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
BPR - VID - Talent - Proteksi Gula Darah - Metafiber,0%,"IDR 6,776.00",155,44,8,1,0,0,451,IDR 0.00,28.3870967742%,18.1818181818%,0.6451612903%,,0%,⬛️⬛️⬛️ F,🟡 Neutral,🟡 Neutral,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
RC - Vidcall - Bapak Edwin - BB Turun 14 Kg - Metafiber,0%,IDR 597.00,16,9,0,0,0,0,524,IDR 0.00,56.25%,0%,0%,,0%,⬛️⬛️⬛️ F,🟢🟢 Very Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
MOFU 50 - VID - mGanik Superfood Worth It Gak Sih? - Superfood,0%,"IDR 138,572.00","1,384",266,39,19,8,0,88,IDR 0.00,19.2196531792%,14.6616541353%,1.3728323699%,0%,0%,⬛️⬛️⬛️ F,🔴 Bad,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
RC - Vidcall - Bapak Daud Supriady - Gak Bisa Operasi Karena Diabetes - Superfood,0%,"IDR 2,813.00",66,18,1,0,0,0,162,IDR 0.00,27.2727272727%,5.5555555556%,0%,,0%,⬛️⬛️⬛️ F,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
RC - BVA Image 1 - Member Community pegang Papan - Ibu Aryanti - (SKU Diabetes),0%,"IDR 5,365.00",114,0,0,2,1,0,524,IDR 0.00,0%,,1.7543859649%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
RC - BVA Image 2 - Member Community pegang Papan - Bapak Ilam -  Superfood,0%,"IDR 236,159.00","4,118",0,0,112,45,0,162,IDR 0.00,0%,,2.7197668771%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
RC - BVA Image 2 - Member Community pegang Papan - Bapak Ilam -  Metafiber,0%,"IDR 16,364.00",268,0,0,4,1,0,524,IDR 0.00,0%,,1.4925373134%,0%,0%,⬛️⬛️⬛️ F,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
HERO - Cutdown Interactive 2 - Dewi Yull x Pak Agus - Superfood,0%,"IDR 1,097.00",15,3,0,0,0,0,162,IDR 0.00,20%,0%,0%,,0%,⬛️⬛️⬛️ F,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,⬜ Insufficient Data,Reported
