Judul Ads,Grade Score - V3,Ad Spend,Impressions,3s View,50% View,Link Click,LP View,Conversions,Campaign Conversions,Revenue,Hook Quality,Content Quality,Clickability,LP Match Rate,RoAS CC,Ads Grade - V3,Hook Grade,Content Grade,Video Clickability Grade,LP Match Grade (REVISI),Offer Quality Grade,Reported V3
ToFU - Expert - VID - Cutdown Podcast Dewi Yull x Dokter Kelvin - Diabetes Minum Obat Seumur Hidup? (mirroring IG) - Superfood,26.9230769231%,"IDR 5,545,287.00","98,481","37,868","8,270","1,743",923,42,156,"IDR 368,000.00",38.4520872046%,21.8390197528%,1.7698845463%,4.5503791983%,6.636266076%,🟩🟩🟩 S,🟢 Good,🟢 Good,🔴🔴 Very Bad,🔴 Bad,🔴🔴 Very Bad,Reported
ToFU - Expert - VID - Cutdown Podcast Dewi Yull x Dokter Kelvin - Diabetes Minum Obat Seumur Hidup? (mirroring IG) - Metafiber,25.4437869822%,"IDR 12,119,957.00","307,314","122,146","23,074","3,997","2,156",86,338,"IDR 79,000.00",39.7463180981%,18.8905080805%,1.3006241174%,3.9888682746%,0.6518174941%,🟩🟩🟩 S,🟢🟢 Very Good,🟢 Good,🔴🔴 Very Bad,🔴 Bad,🔴🔴 Very Bad,Reported
COI - VID -  Kenapa Diabetesi Harus Pilih mGanik Metafiber? - Metafiber,21.4007782101%,"IDR 4,132,683.00","61,895","15,645","1,874","1,130",753,55,257,"IDR 395,000.00",25.2766782454%,11.9782678172%,1.8256725099%,7.3041168659%,9.5579554493%,🟩🟩🟩 S,🟡 Neutral,🟡 Neutral,🔴🔴 Very Bad,🟡 Neutral,🔴 Bad,Reported
BPR - BVA - Photoshoot Metafiber 3 - Nurunin Gula Nggak Harus Menyiksa - Metafiber,19.512195122%,"IDR 10,051,849.00","285,556",0,0,"3,008","1,461",88,451,"IDR 2,838,000.00",0%,,1.0533835745%,6.0232717317%,28.2336115475%,🟩🟩🟩 A,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,🟡 Neutral,🟡 Neutral,Reported
"0° - Brand Education - Hai, Aku Pankreas! (Mirroring IG) - Superfood",19.2307692308%,"IDR 2,427,187.00","85,359","3,228","1,476","3,454","2,075",30,156,IDR 0.00,3.7816750431%,45.7249070632%,4.046439157%,1.4457831325%,0%,🟩🟩🟩 A,🔴🔴 Very Bad,🟢🟢 Very Good,🔴🔴 Very Bad,🔴🔴 Very Bad,🔴🔴 Very Bad,Reported
Kompilasi - Customer - Rekomendasikan mGanik - Metafiber,18.1818181818%,"IDR 10,898,094.00","184,701","62,467","4,223","2,612","1,223",82,451,"IDR 1,055,000.00",33.82060736%,6.7603694751%,1.4141775085%,6.7048242028%,9.680591854%,🟩🟩🟩 A,🟢 Good,🔴 Bad,🔴🔴 Very Bad,🟡 Neutral,🔴🔴 Very Bad,Reported
Talent - Jessica - Mau Beli mGanik - 3Peptide,17.9487179487%,"IDR 1,597,971.00","24,565","7,274","2,068",443,287,35,195,IDR 0.00,29.6112354977%,28.4300247457%,1.803378791%,12.1951219512%,0%,🟩🟩🟩 A,🟡 Neutral,🟢 Good,🔴🔴 Very Bad,🟢🟢 Very Good,🔴🔴 Very Bad,Reported
KOL Expert - Apt. Eza Riyeni - M3P,17.8913738019%,"IDR 4,433,043.00","75,866","21,152","3,224","1,217",610,56,313,"IDR 350,000.00",27.8807370891%,15.2420574887%,1.6041441489%,9.1803278689%,7.8952538922%,🟩🟩🟩 A,🟡 Neutral,🟡 Neutral,🔴🔴 Very Bad,🟢 Good,🔴🔴 Very Bad,Reported
KOL Expert - dr. Cecep Hermawan - Metafiber,17.2413793103%,"IDR 6,599,465.00","213,607","82,119","8,983","3,689","1,716",30,174,"IDR 299,000.00",38.4439648513%,10.939003154%,1.7270033285%,1.7482517483%,4.5306702892%,🟩🟩🟩 A,🟢 Good,🔴 Bad,🔴🔴 Very Bad,🔴🔴 Very Bad,🔴🔴 Very Bad,Reported
25° - KOL Expert - (Non Code) - Riska - Superfood,17.1052631579%,"IDR 2,187,575.00","77,908","24,917","6,160","1,328",533,26,152,IDR 0.00,31.9825948555%,24.7220772966%,1.7045746265%,4.8780487805%,0%,🟩🟩🟩 A,🟡 Neutral,🟢 Good,🔴🔴 Very Bad,🟡 Neutral,🔴🔴 Very Bad,Reported
Talent - Jessica - Perfect Breakfast - Multigrain,17.0068027211%,"IDR 1,874,671.00","30,769","6,771","1,718",381,226,25,147,"IDR 867,000.00",22.0059150444%,25.3729138975%,1.2382592869%,11.0619469027%,46.2481150026%,🟩🟩🟩 A,🔴 Bad,🟢 Good,🔴🔴 Very Bad,🟢 Good,🟢 Good,Reported
Expert - dr. Arlis - Diabetesi Jangan Takut Makan - Metafiber,16.8639053254%,"IDR 7,482,415.00","346,245",0,0,"15,709","9,351",57,338,"IDR 1,134,000.00",0%,,4.5369608225%,0.6095604748%,15.155534677%,🟩🟩🟩 A,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,🔴🔴 Very Bad,🔴 Bad,Reported
BO - BPR - VID - Lapar Palsu Diabetesi (SF Lama) - Superfood,16.8067226891%,"IDR 2,576,519.00","44,802","13,224","4,225",657,282,20,119,"IDR 867,000.00",29.5165394402%,31.9494857834%,1.4664523905%,7.0921985816%,33.6500526486%,🟩🟩🟩 A,🟡 Neutral,🟢 Good,🔴🔴 Very Bad,🟢 Good,🟡 Neutral,Reported
Mirorr IG - Cerita Sukses Kontrol Diabetes - Metafiber,16.4079822616%,"IDR 7,183,001.00","176,011","74,055","14,153","3,744","1,892",74,451,"IDR 2,372,000.00",42.0740749158%,19.1114712038%,2.127139781%,3.911205074%,33.0224094358%,🟩🟩🟩 A,🟢🟢 Very Good,🟡 Neutral,🔴🔴 Very Bad,🔴 Bad,🟡 Neutral,Reported
BPR - IMG - BARU! mGanik SF 250 gr (2 varian rasa) - Superfood,16.3265306122%,"IDR 3,307,983.00","61,087",0,0,632,367,24,147,"IDR 289,000.00",0%,,1.034590011%,6.5395095368%,8.7364415113%,🟩🟩🟩 A,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,🟡 Neutral,🔴🔴 Very Bad,Reported
KOL Expert - (Ad Code) - dr. Boy Raditya - M3P,15.6549520767%,"IDR 3,677,332.00","109,418","22,779","5,266","1,359",750,49,313,"IDR 350,000.00",20.8183297081%,23.1177839238%,1.2420259921%,6.5333333333%,9.5177699484%,🟩🟩🟩 A,🔴 Bad,🟢 Good,🔴🔴 Very Bad,🟡 Neutral,🔴🔴 Very Bad,Reported
